reply_text,username,date,likes,replies
"@BRICSinfo All this, is not worth it. Human life is very precious. War is grossly unnecessary. Be it from Americans or Israelites or Iraninans. The world needs peace!",ArhinAkwasi,Wed Apr 01 05:00:01 +0000 2026,3,0
@BRICSinfo That’s sad,DemiurgeComet,Wed Apr 01 00:08:43 +0000 2026,0,0
@BRICSinfo Coming Soon 🚨💯⚰️👈 https://t.co/pXVVSwbcwK,JannatRimi181,Tue Mar 31 23:37:00 +0000 2026,6,0
"@BRICSinfo May God grant peace to the world 

I can't wait for the day the world love together as one human race",justiceandmelo,Tue Mar 31 23:18:40 +0000 2026,19,1
@BRICSinfo Why don’t they have bunkers for these bases?,truthconquest,Wed Apr 01 02:40:41 +0000 2026,0,0
@BRICSinfo FAKE AI.,guardingthegrid,Wed Apr 01 00:18:58 +0000 2026,0,0
@BRICSinfo Yeah Trump sacrificed our people,Svjmysummer,Wed Apr 01 04:01:41 +0000 2026,0,0
@BRICSinfo Cease fire,MrLeo1508A,Wed Apr 01 03:59:00 +0000 2026,0,0
@BRICSinfo They were caught unawares,Danthecrypto2,Wed Apr 01 00:14:49 +0000 2026,0,0
@BRICSinfo https://t.co/Lxz0ue7fbn,That_Blvk_Boy,Tue Mar 31 23:33:30 +0000 2026,4,0
@BRICSinfo Where are the Trumps in the frontline?,anyhowperson1,Wed Apr 01 01:44:31 +0000 2026,0,0
@BRICSinfo Good evening soldier... https://t.co/RuRUjrykTu,erw1nnasut1on,Wed Apr 01 03:53:21 +0000 2026,0,0
@BRICSinfo Send oil $200 send inflation to 10% let's collapse the economy,The76Kill,Tue Mar 31 23:34:59 +0000 2026,1,0
@BRICSinfo They were very lucky!,lucky_luke_75,Wed Apr 01 00:45:04 +0000 2026,0,0
